STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981122,48,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981123,53,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981124,63,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981125,64,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981126,57,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981127,64,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981128,60,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981129,71,34
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981130,76,36
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981201,67,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981202,67,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981203,67,33
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981204,73,41
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981205,75,59
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981206,77,53
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981207,80,55
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981208,81,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981209,56,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981210,53,29
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981211,54,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981212,51,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981213,48,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981214,47,38
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981215,48,22
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981216,55,22
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981217,57,33
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981218,50,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981219,48,29
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981220,53,38
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981221,57,42
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981222,67,45
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981223,60,19
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981224,28,18
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981225,38,22
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981226,34,14
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981227,36,18
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981228,44,17
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981229,45,35
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981230,40,31
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981231,33,20
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990101,29,13
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990102,32,18
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990103,55,17
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990104,51,22
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990105,33,16
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990106,28,7
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990107,38,14
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990108,40,21
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990109,33,20
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990110,42,17
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990111,34,16
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990112,42,24
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990113,60,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990114,60,29
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990115,33,27
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990116,38,23
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990117,55,25
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990118,60,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990119,60,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990120,56,33
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990121,51,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990122,48,35
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990123,53,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990124,74,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990125,58,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990126,50,31
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990127,53,25
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990128,57,27
